Player,College_Conference,College,College_PPG,NBA_Team
Kyle Anderson,Pac 12,UCLA,12.2,Timberwolves
Deandre Ayton,Pac 12,Arizona,20.1,Suns
Lonzo Ball,Pac 12,UCLA,14.6,Bulls
Bol Bol,Pac 12,Oregon,21.0,Magic
Chris Boucher,Pac 12,Oregon,12.0,Raptors
Dillon Brooks,Pac 12,Oregon,14.8,Grizzlies
Jaylen Brown,Pac 12,California,14.6,Celtics
"Troy Brown, Jr.",Pac 12,Oregon,11.3,Lakers
Josh Christopher,Pac 12,Arizona State,14.3,Rockets
DeMar DeRozan,Pac 12,USC,13.9,Bulls
Dewayne Dedmon,Pac 12,USC,7.1,Sixers
Spencer Dinwiddie,Pac 12,Colorado,13.0,Nets
Luguentz Dort,Pac 12,Arizona State,16.1,Thunder
Chris Duarte,Pac 12,Oregon,14.9,Pacers
Drew Eubanks,Pac 12,Oregon State,11.7,Trail Blazers
Malachi Flynn,Pac 12,San Diego State,14.4,Raptors
Markelle Fultz,Pac 12,Washington,23.2,Magic
Taj Gibson,Pac 12,USC,12.4,Wizards
Aaron Gordon,Pac 12,Arizona,12.4,Nuggets
Josh Green,Pac 12,Arizona,12.0,Mavericks
James Harden,Pac 12,Arizona State,19.0,Sixers
Aaron Holiday,Pac 12,UCLA,14.3,Hawks
Jrue Holiday,Pac 12,UCLA,8.5,Bucks
Justin Holiday,Pac 12,Washington,5.3,Mavericks
Andre Iguodala,Pac 12,Arizona,9.6,Warriors
Johnny Juzang,Pac 12,UCLA,11.6,Jazz
Louis King,Pac 12,Oregon,13.5,Sixers
Christian Koloko,Pac 12,Arizona,7.3,Raptors
Kyle Kuzma,Pac 12,Utah,10.1,Wizards
Zach LaVine,Pac 12,UCLA,9.4,Bulls
Kevon Looney,Pac 12,UCLA,11.6,Warriors
Brook Lopez,Pac 12,Stanford,16.0,Bucks
Robin Lopez,Pac 12,Stanford,9.0,Cavaliers
Kevin Love,Pac 12,UCLA,17.5,Heat
Lauri Markkanen,Pac 12,Arizona,15.6,Jazz
Bennedict Mathurin,Pac 12,Arizona,14.8,Pacers
T.J. McConnell,Pac 12,Arizona,10.2,Pacers
Jaden McDaniels,Pac 12,Washington,13.0,Timberwolves
Jordan McLaughlin,Pac 12,USC,12.9,Timberwolves
De'Anthony Melton,Pac 12,USC,8.3,Sixers
Chimezie Metu,Pac 12,USC,12.3,Kings
Evan Mobley,Pac 12,USC,16.4,Cavaliers
Isaiah Mobley,Pac 12,USC,10.1,Cavaliers
Dejounte Murray,Pac 12,Washington,16.1,Hawks
Zeke Nnaji,Pac 12,Arizona,16.1,Nuggets
Jaylen Nowell,Pac 12,Washington,16.1,Timberwolves
Onyeka Okongwu,Pac 12,USC,16.2,Hawks
Eugene Omoruyi,Pac 12,Oregon,9.9,Pistons
Gary Payton II,Pac 12,Oregon State,14.7,Warriors
Jakob Poeltl,Pac 12,Utah,13.3,Raptors
"Kevin Porter, Jr.",Pac 12,USC,9.5,Rockets
Dwight Powell,Pac 12,Stanford,10.8,Mavericks
Norman Powell,Pac 12,UCLA,9.8,Clippers
Payton Pritchard,Pac 12,Oregon,13.5,Celtics
Terrence Ross,Pac 12,Washington,12.3,Suns
Kobi Simmons,Pac 12,Arizona,8.7,Hornets
Isaiah Stewart II,Pac 12,Washington,17.0,Pistons
Dalen Terry,Pac 12,Arizona,6.6,Bulls
Klay Thompson,Pac 12,Washington State,17.9,Warriors
Matisse Thybulle,Pac 12,Washington,9.2,Trail Blazers
Nikola Vucevic,Pac 12,USC,11.1,Bulls
Jabari Walker,Pac 12,Colorado,11.5,Trail Blazers
Peyton Watson,Pac 12,UCLA,3.3,Nuggets
Russell Westbrook,Pac 12,UCLA,8.3,Clippers
Derrick White,Pac 12,Colorado,18.1,Celtics
Ziaire Williams,Pac 12,Stanford,10.7,Grizzlies
McKinley Wright IV,Pac 12,Colorado,14.2,Mavericks
Delon Wright,Pac 12,Utah,15.0,Wizards
Gabe York,Pac 12,Arizona,9.2,Pacers