Player,College_Conference,College,College_PPG,NBA_Team,,,,
Bam Adebayo,SEC,Kentucky,13.0,Heat,,,,
Bradley Beal,SEC,Florida,14.8,Wizards,,,,
Patrick Beverley,SEC,Arkansas,13.0,Bulls,,,,
Devin Booker,SEC,Kentucky,10.0,Suns,,,,
"B.J. Boston, Jr.",SEC,Kentucky,11.5,Clippers,,,,
Kentavious Caldwell-Pope,SEC,Georgia,15.8,Nuggets,,,,
Alex Caruso,SEC,Texas A&M,8.0,Bulls,,,,
Willie Cauley-Stein,SEC,Kentucky,8.0,Rockets,,,,
Jordan Clarkson,SEC,Missouri,15.4,Jazz,,,,
Nicolas Claxton,SEC,Georgia,8.4,Nets,,,,
Anthony Davis,SEC,Kentucky,14.2,Lakers,,,,
Terence Davis,SEC,Ole Miss,12.5,Kings,,,,
J.D. Davison,SEC,Alabama,8.5,Celtics,,,,
Darius Days,SEC,LSU,10.3,Rockets,,,,
Hamidou Diallo,SEC,Kentucky,10.0,Pistons,,,,
P.J. Dozier,SEC,South Carolina,10.4,Kings,,,,
Tari Eason,SEC,LSU,13.0,Rockets,,,,
Anthony Edwards,SEC,Georgia,19.1,Timberwolves,,,,
Keon Ellis,SEC,Alabama,8.8,Kings,,,,
Dorian Finney-Smith,SEC,Florida,10.7,Nets,,,,
De'Aaron Fox,SEC,Kentucky,16.7,Kings,,,,
Wenyen Gabriel,SEC,Kentucky,5.7,Lakers,,,,
Daniel Gafford,SEC,Arkansas,14.3,Wizards,,,,
Darius Garland,SEC,Vanderbilt,16.2,Cavaliers,,,,
Shai Gilgeous-Alexander,SEC,Kentucky,14.4,Thunder,,,,
JaMychal Green,SEC,Alabama,13.5,Warriors,,,,
Tobias Harris,SEC,Tennessee,15.3,Sixers,,,,
Udonis Haslem,SEC,Florida,13.7,Heat,,,,
Tyler Herro,SEC,Kentucky,14.0,Heat,,,,
Al Horford,SEC,Florida,10.3,Celtics,,,,
Danuel House,SEC,Texas A&M,14.1,Sixers,,,,
Isaiah Jackson,SEC,Kentucky,8.4,Pacers,,,,
Quenton Jackson,SEC,Texas A&M,11.9,Wizards,,,,
Isaiah Joe,SEC,Arkansas,15.2,Thunder,,,,
Keldon Johnson,SEC,Kentucky,13.5,Spurs,,,,
Keon Johnson,SEC,Tennessee,11.3,Trail Blazers,,,,
Damian Jones,SEC,Vanderbilt,13.3,Jazz,,,,
Herb Jones,SEC,Alabama,7.3,Pelicans,,,,
Walker Kessler,SEC,Auburn,8.2,Jazz,,,,
Kevin Knox,SEC,Kentucky,15.6,Trail Blazers,,,,
Luke Kornet,SEC,Vanderbilt,8.9,Celtics,,,,
A.J. Lawson,SEC,South Carolina,14.2,Mavericks,,,,
Saben Lee,SEC,Vanderbilt,13.9,Suns,,,,
"Kira Lewis, Jr.",SEC,Alabama,15.9,Pelicans,,,,
Trey Lyles,SEC,Kentucky,8.7,Kings,,,,
Tre Mann,SEC,Florida,10.2,Thunder,,,,
Tyrese Maxey,SEC,Kentucky,14.0,Sixers,,,,
Malik Monk,SEC,Kentucky,19.8,Kings,,,,
Moses Moody,SEC,Arkansas,16.8,Warriors,,,,
Jamal Murray,SEC,Kentucky,20.0,Nuggets,,,,
Aaron Nesmith,SEC,Vanderbilt,14.7,Pacers,,,,
Chuma Okeke,SEC,Auburn,9.9,Magic,,,,
Isaac Okoro,SEC,Auburn,12.9,Cavaliers,,,,
"Scotty Pippen, Jr.",SEC,Vanderbilt,17.5,Lakers,,,,
"Michael Porter, Jr.",SEC,Missouri,10.0,Nuggets,,,,
Bobby Portis,SEC,Arkansas,15.0,Bucks,,,,
Immanuel Quickley,SEC,Kentucky,10.1,Knicks,,,,
Julius Randle,SEC,Kentucky,15.0,Knicks,,,,
Naz Reid,SEC,LSU,13.6,Timberwolves,,,,
Nick Richards,SEC,Kentucky,7.3,Hornets,,,,
Josh Richardson,SEC,Tennessee,9.2,Pelicans,,,,
Olivier Sarr,SEC,Kentucky,8.5,Thunder,,,,
Admiral Schofield,SEC,Tennessee,11.9,Magic,,,,
Collin Sexton,SEC,Alabama,19.2,Jazz,,,,
Ben Simmons,SEC,LSU,19.2,Nets,,,,
Dru Smith,SEC,Missouri,11.4,Nets,,,,
"Jabari Smith, Jr.",SEC,Auburn,16.9,Rockets,,,,
Jaden Springer,SEC,Tennessee,12.5,Sixers,,,,
Garrett Temple,SEC,LSU,6.7,Pelicans,,,,
Cam Thomas,SEC,LSU,23.0,Nets,,,,
J.T. Thor,SEC,Auburn,9.4,Hornets,,,,
Karl-Anthony Towns,SEC,Kentucky,10.3,Timberwolves,,,,
Jarred Vanderbilt,SEC,Kentucky,5.9,Lakers,,,,
"TyTy Washington, Jr.",SEC,Kentucky,12.5,Rockets,,,,
P.J. Washington,SEC,Kentucky,12.9,Hornets,,,,
Trendon Watford,SEC,LSU,14.9,Trail Blazers,,,,
Grant Williams,SEC,Tennessee,15.7,Celtics,,,,
Jaylin Williams,SEC,Arkansas,7.9,Thunder,,,,
Robert Williams,SEC,Texas A&M,11.1,Celtics,,,,